Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent),Source,Nm,File Name,Directory Name,Path Summary
10,13,10,13,3,2,24,10000016777216.0,67.18506523353571,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,statistical_results_weighted.csv,200,SubBytesOutput-Bit-Corr-Nm200-Weight
10,13,10,13,3,2,24,10000016777216.0,67.18506523353571,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
10,14,10,14,2,2,16,100000000065536.0,62.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Bit-Mean-Nm300-Weight
10,14,10,14,2,2,16,100000000065536.0,62.50699332842307,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Corr-Nm500-Freq
10,14,10,14,2,2,16,100000000065536.0,62.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Mean-Nm500-Freq
3,10,3,10,6,2,48,281474976769705.0,63.84962500721156,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
4,10,4,10,6,2,48,281474977759232.0,68.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
5,10,5,10,6,2,48,281474986476281.0,71.21928094887362,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
30,10,30,10,6,2,48,871964976710656.0,97.0689059560852,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Mean-Nm200-Freq
30,10,30,10,6,2,48,871964976710656.0,97.0689059560852,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Corr-Nm200-Freq
10,15,10,15,1,2,8,1000000000000256.0,57.82892142331043,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,statistical_results_weighted.csv,300,SubBytesOutput-Bit-Corr-Nm300-Weight
20,12,20,12,4,2,32,4096004294967296.0,83.86313713864836,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,statistical_results.csv,500,SubBytesOutput-Bit-Mean-Nm500-Weight
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,statistical_results_weighted.csv,500,SubBytesOutput-Bit-Corr-Nm500-Weight
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,statistical_results.csv,400,SubBytesOutput-Bit-Mean-Nm400-Weight
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Mean-Nm400-Freq
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,statistical_results_weighted.csv,1000,SubBytesOutput-Bit-Corr-Nm1000-Weight
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Corr-Nm1000-Freq
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,statistical_results_weighted.csv,400,SubBytesOutput-Bit-Corr-Nm400-Weight
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Freq
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Corr-Nm400-Freq
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,statistical_results.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Weight
25,12,25,12,4,2,32,5.960464907035792e+16,87.7262742772967,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
2,9,2,9,7,2,56,7.205759403792845e+16,65.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
3,9,3,9,7,2,56,7.205759403794763e+16,70.26466250649041,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
4,9,4,9,7,2,56,7.205759403819008e+16,74.0,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,statistical_results_weighted.csv,200,SubBytesOutput-Bit-Corr-Nm200-Weight
4,9,4,9,7,2,56,7.205759403819008e+16,74.0,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
4,9,4,9,7,2,56,7.205759403819008e+16,74.0,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,statistical_results.csv,200,SubBytesOutput-Bit-Mean-Nm200-Weight
5,9,5,9,7,2,56,7.205759403988106e+16,76.89735285398626,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,statistical_results_weighted.csv,200,SubBytesOutput-Bit-Corr-Nm200-Weight
5,9,5,9,7,2,56,7.205759403988106e+16,76.89735285398626,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
5,9,5,9,7,2,56,7.205759403988106e+16,76.89735285398626,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,statistical_results.csv,200,SubBytesOutput-Bit-Mean-Nm200-Weight
50,9,50,9,7,2,56,7.401071903792794e+16,106.79470570797253,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,statistical_results_weighted.csv,100,SubBytesOutput-Bit-Corr-Nm100-Weight
20,13,20,13,3,2,24,8.192000001677722e+16,80.18506523353571,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
50,10,50,10,6,2,48,9.793772497671064e+16,104.43856189774723,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,statistical_results.csv,100,SubBytesOutput-Bit-Mean-Nm100-Weight
30,12,30,12,4,2,32,5.314410042949673e+17,90.88268714730222,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
100,9,100,9,7,2,56,1.072057594037928e+18,115.79470570797253,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,statistical_results_frequent.csv,100,SubBytesOutput-Bit-Mean-Nm100-Freq
25,13,25,13,3,2,24,1.490116119401543e+18,84.37013046707142,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
20,14,20,14,2,2,16,1.6384000000000655e+18,76.50699332842308,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,statistical_results.csv,200,SubBytesOutput-Bit-Mean-Nm200-Weight
20,14,20,14,2,2,16,1.6384000000000655e+18,76.50699332842308,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,statistical_results_weighted.csv,200,SubBytesOutput-Bit-Corr-Nm200-Weight
20,14,20,14,2,2,16,1.6384000000000655e+18,76.50699332842308,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Corr-Nm500-Freq
20,14,20,14,2,2,16,1.6384000000000655e+18,76.50699332842308,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Mean-Nm500-Freq
50,11,50,11,5,2,40,4.882813599511628e+18,102.08241808752196,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Corr-Nm200-Freq
50,11,50,11,5,2,40,4.882813599511628e+18,102.08241808752196,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Mean-Nm200-Freq
30,13,30,13,3,2,24,1.5943230000016775e+19,87.78957774291075,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
2,8,2,8,8,2,64,1.8446744073709552e+19,72.0,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
3,8,3,8,8,2,64,1.844674407370956e+19,76.67970000576925,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,statistical_results_weighted.csv,200,SubBytesOutput-Bit-Corr-Nm200-Weight
3,8,3,8,8,2,64,1.844674407370956e+19,76.67970000576925,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,statistical_results.csv,200,SubBytesOutput-Bit-Mean-Nm200-Weight
20,8,20,8,8,2,64,1.844674409930955e+19,98.5754247590989,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Corr-Nm200-Freq
20,8,20,8,8,2,64,1.844674409930955e+19,98.5754247590989,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Mean-Nm200-Freq
25,8,25,8,8,2,64,1.844674422629744e+19,101.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Corr-Nm200-Freq
25,8,25,8,8,2,64,1.844674422629744e+19,101.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Mean-Nm200-Freq
30,8,30,8,8,2,64,1.844674472980955e+19,103.25512476486816,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,statistical_results_weighted.csv,100,SubBytesOutput-Bit-Corr-Nm100-Weight
25,14,25,14,2,2,16,3.7252902984619205e+19,81.01398665684614,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Mean-Nm500-Freq
25,14,25,14,2,2,16,3.7252902984619205e+19,81.01398665684614,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,statistical_results.csv,200,SubBytesOutput-Bit-Mean-Nm200-Weight
25,14,25,14,2,2,16,3.7252902984619205e+19,81.01398665684614,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Corr-Nm500-Freq
100,10,100,10,6,2,48,1.0000028147497673e+20,114.43856189774723,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,statistical_results_frequent.csv,100,SubBytesOutput-Bit-Corr-Nm100-Freq
50,12,50,12,4,2,32,2.4414062500429496e+20,99.7262742772967,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,statistical_results.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Weight
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,statistical_results_weighted.csv,300,SubBytesOutput-Bit-Corr-Nm300-Weight
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,statistical_results_weighted.csv,500,SubBytesOutput-Bit-Corr-Nm500-Weight
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,statistical_results.csv,500,SubBytesOutput-Bit-Mean-Nm500-Weight
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Bit-Mean-Nm300-Weight
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,statistical_results_weighted.csv,400,SubBytesOutput-Bit-Corr-Nm400-Weight
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,statistical_results_weighted.csv,1000,SubBytesOutput-Bit-Corr-Nm1000-Weight
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Mean-Nm400-Freq
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Corr-Nm400-Freq
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Freq
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,statistical_results.csv,400,SubBytesOutput-Bit-Mean-Nm400-Weight
20,16,20,16,0,2,0,6.5536e+20,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Corr-Nm1000-Freq
25,15,25,15,1,2,8,9.313225746154784e+20,77.65784284662087,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,statistical_results_weighted.csv,200,SubBytesOutput-Bit-Corr-Nm200-Weight
2,7,2,7,9,2,72,4.7223664828696447e+21,79.0,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,statistical_results.csv,200,SubBytesOutput-Bit-Mean-Nm200-Weight
1,7,1,7,9,2,72,4.7223664828696447e+21,72.0,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
1,7,1,7,9,2,72,4.7223664828696447e+21,72.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
2,7,2,7,9,2,72,4.7223664828696447e+21,79.0,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,statistical_results_weighted.csv,200,SubBytesOutput-Bit-Corr-Nm200-Weight
10,7,10,7,9,2,72,4.722366482869656e+21,95.25349666421154,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Mean-Nm200-Freq
10,7,10,7,9,2,72,4.722366482869656e+21,95.25349666421154,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Corr-Nm200-Freq
30,7,30,7,9,2,72,4.722366482891515e+21,106.34823416925964,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,statistical_results.csv,100,SubBytesOutput-Bit-Mean-Nm100-Weight
50,7,50,7,9,2,72,4.722366483650895e+21,111.50699332842308,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,statistical_results_frequent.csv,100,SubBytesOutput-Bit-Corr-Nm100-Freq
100,11,100,11,5,2,40,1.0000000001099512e+22,113.08241808752196,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Corr-Nm200-Freq
100,11,100,11,5,2,40,1.0000000001099512e+22,113.08241808752196,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Mean-Nm200-Freq
50,13,50,13,3,2,24,1.2207031250000015e+22,97.37013046707142,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
30,15,30,15,1,2,8,1.4348907e+22,81.60335893412778,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Mean-Nm500-Freq
30,15,30,15,1,2,8,1.4348907e+22,81.60335893412778,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Corr-Nm500-Freq
30,15,30,15,1,2,8,1.4348907e+22,81.60335893412778,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,statistical_results.csv,200,SubBytesOutput-Bit-Mean-Nm200-Weight
30,15,30,15,1,2,8,1.4348907e+22,81.60335893412778,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,statistical_results_weighted.csv,200,SubBytesOutput-Bit-Corr-Nm200-Weight
25,16,25,16,0,2,0,2.328306436538696e+22,74.30169903639559,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,statistical_results.csv,500,SubBytesOutput-Bit-Mean-Nm500-Weight
25,16,25,16,0,2,0,2.328306436538696e+22,74.30169903639559,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Corr-Nm1000-Freq
25,16,25,16,0,2,0,2.328306436538696e+22,74.30169903639559,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,statistical_results_weighted.csv,400,SubBytesOutput-Bit-Corr-Nm400-Weight
25,16,25,16,0,2,0,2.328306436538696e+22,74.30169903639559,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Freq
25,16,25,16,0,2,0,2.328306436538696e+22,74.30169903639559,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,statistical_results_weighted.csv,500,SubBytesOutput-Bit-Corr-Nm500-Weight
25,16,25,16,0,2,0,2.328306436538696e+22,74.30169903639559,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,statistical_results_weighted.csv,300,SubBytesOutput-Bit-Corr-Nm300-Weight
25,16,25,16,0,2,0,2.328306436538696e+22,74.30169903639559,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,statistical_results.csv,400,SubBytesOutput-Bit-Mean-Nm400-Weight
25,16,25,16,0,2,0,2.328306436538696e+22,74.30169903639559,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,statistical_results.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Weight
25,16,25,16,0,2,0,2.328306436538696e+22,74.30169903639559,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Bit-Mean-Nm300-Weight
25,16,25,16,0,2,0,2.328306436538696e+22,74.30169903639559,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Corr-Nm400-Freq
